qdate,tenor_bucket,bid_ask_spread,pubout,n_issues,liq_hhi,issue_conc_top3,issue_conc_top5
1980-01-31,2,0.125,179918.0,66,0.016812051132876874,0.08552229348925622,0.1298146933603086
1980-01-31,5,0.25,43886.0,16,0.0886935407746879,0.37902748028984184,0.5452536116301325
1980-01-31,10,0.5,27938.0,19,0.06508753536518107,0.27425012527739995,0.42358078602620086
1980-01-31,20,0.375,9984.0,8,0.17892728927180926,0.679286858974359,0.8558693910256411
1980-02-29,2,0.125,177775.0,65,0.017161030955762036,0.08641260019687808,0.13218394037406833
1980-02-29,5,0.25,45901.0,17,0.08298450687972998,0.3620618287183286,0.5209908280865341
1980-02-29,10,0.5,28221.0,21,0.06375225430719582,0.2711456007937352,0.4189787746713441
1980-02-29,20,0.25,12331.0,8,0.16407177073610268,0.6006001135349932,0.8485118806260645
1980-03-31,2,0.125,178704.0,66,0.01663806024179697,0.07929872862386964,0.12357865520637479
1980-03-31,5,0.25,48452.0,18,0.07726580915591695,0.343040534962437,0.49370511021216873
1980-03-31,10,0.5,29640.0,21,0.06009955043062863,0.2584008097165992,0.3990890688259109
1980-03-31,20,0.5,12326.0,8,0.16414686168278927,0.6009248742495538,0.8482070420249879
1980-04-30,2,0.25,180515.0,66,0.01665807695659833,0.07856964795169377,0.12298700938980141
1980-04-30,5,0.25,48429.0,18,0.07731568855295065,0.34347188667946893,0.49396023044043863
1980-04-30,10,0.5,29563.0,21,0.060143410781874615,0.25904001623651185,0.3994520177248588
1980-04-30,20,0.5,12306.0,8,0.16442463483780215,0.6019015114578254,0.8479603445473752
1980-05-30,2,0.25,180400.0,66,0.016640330861205203,0.07812084257206209,0.12238913525498893
1980-05-30,5,0.25,47427.0,18,0.07831903830181405,0.34899951504417315,0.5008539439559745
1980-05-30,10,0.5,30929.0,21,0.06479462676096594,0.29871641501503443,0.4400077597077177
1980-05-30,20,0.5,12363.0,8,0.16237910882713183,0.5970233762031869,0.8405726765348216
1980-06-30,2,0.125,183963.0,66,0.016670443789603074,0.07929855460065338,0.12319868669243271
1980-06-30,5,0.25,54031.0,20,0.06790985649488443,0.30773074716366533,0.44254224426718
1980-06-30,10,0.5,30945.0,21,0.06473510080130335,0.29714008725157537,0.4419130715786072
1980-06-30,20,0.5,12365.0,8,0.1625274697423643,0.5974120501415285,0.8406793368378488
