date,RRP_bill_wedge
2010-01-04,5.1
2010-01-05,5.1483888457692455
2010-01-06,5.194739758417496
2010-01-07,5.238999089526754
2010-01-08,5.281150371514159
2010-01-11,5.321212887862775
2010-01-12,5.359239564731382
2010-01-13,5.39531423061026
2010-01-14,5.42954830289265
2010-01-15,5.462076971264802
2010-01-18,5.493054957467296
2010-01-19,5.522651939059352
2010-01-20,5.5510477311696675
2010-01-21,5.578427324719372
2010-01-22,5.604975882167988
2010-01-25,5.63087379241333
2010-01-26,5.656291885060677
2010-01-27,5.681386900894206
2010-01-28,5.706297310101739
2010-01-29,5.731139562726458
2010-02-01,5.756004847085645
2010-02-02,5.780956421678151
2010-02-03,5.806027574599615
2010-02-04,5.831220251923032
2010-02-05,5.856504383127975
2010-02-08,5.881817917736898
2010-02-09,5.907067573113861
2010-02-10,5.932130279178079
2010-02-11,5.956855291859892
2010-02-12,5.981066933752814
2010-02-15,6.004567907854209
2010-02-16,6.0271431187849895
2010-02-17,6.048563925660953
2010-02-18,6.068592742055486
2010-02-19,6.086987891416772
2010-02-22,6.103508621021606
2010-02-23,6.117920174166604
2010-02-24,6.129998818883091
2010-02-25,6.1395367320432355
2010-02-26,6.1463466402916005
2010-03-01,6.150266123739751
2010-03-02,6.151161494714887
2010-03-03,6.148931171934122
2010-03-04,6.143508480127469
2010-03-05,6.13486381616764
2010-03-08,6.123006134969325
2010-03-09,6.107983721557516
2010-03-10,6.089884229518494
2010-03-11,6.068833980269595
2010-03-12,6.044996531938189
2010-03-15,6.018570540847111
2010-03-16,5.989786952386433
2010-03-17,5.958905571141558
2010-03-18,5.9262110722900125
2010-03-19,5.892008527237343
2010-03-22,5.856618526022246
2010-03-23,5.820371986995954
2010-03-24,5.783604750514836
2010-03-25,5.746652057756097
2010-03-26,5.709843018188332
2010-03-29,5.673495169653318
2010-03-30,5.637909233433557
2010-03-31,5.603364163121112
2010-04-01,5.570112580635477
2010-04-02,5.538376685466448
2010-04-05,5.508344714282527
2010-04-06,5.480168017618702
2010-04-07,5.453958808640956
2010-04-08,5.429788626205065
2010-04-09,5.407687540831454
2010-04-12,5.387644118068902
2010-04-13,5.369606139291723
2010-04-14,5.353482065546868
2010-04-15,5.339143215918207
2010-04-16,5.326426618279251
2010-04-19,5.315138477525321
2010-04-20,5.305058194659263
2010-04-21,5.2959428596775
2010-04-22,5.287532132267053
2010-04-23,5.2795534170516225
2010-04-26,5.271727234656077
2010-04-27,5.263772686298733
2010-04-28,5.2554129080378145
2010-04-29,5.2463804112218755
2010-04-30,5.2364222081145595
2010-05-03,5.225304626033531
2010-05-04,5.212817719575908
2010-05-05,5.198779198475724
2010-05-06,5.183037798197069
2010-05-07,5.16547603132272
2010-05-10,5.14601226993865
2010-05-11,5.124602122302894
2010-05-12,5.101239080867896
2010-05-13,5.075954432930097
2010-05-14,5.048816439532678
