date,swap_spread_10y
2010-01-04,-4.9
2010-01-05,-4.855227703716067
2010-01-06,-4.812481819519197
2010-01-07,-4.771804496005207
2010-01-08,-4.733200743325365
2010-01-11,-4.6966398840686265
2010-01-12,-4.662057682666297
2010-01-13,-4.62935910661945
2010-01-14,-4.59842166064702
2010-01-15,-4.569099223819382
2010-01-18,-4.541226310092831
2010-01-19,-4.514622664581616
2010-01-20,-4.489098101552743
2010-01-21,-4.464457485627155
2010-01-22,-4.440505755106001
2010-01-25,-4.417052885761234
2010-01-26,-4.393918694845864
2010-01-27,-4.370937388462162
2010-01-28,-4.34796176070867
2010-01-29,-4.324866960104943
2010-02-01,-4.301553747527234
2010-02-02,-4.277951180107486
2010-02-03,-4.254018667051388
2010-02-04,-4.229747355893604
2010-02-05,-4.205160821083307
2010-02-08,-4.18031504071905
2010-02-09,-4.155297661455907
2010-02-10,-4.1302265658118085
2010-02-11,-4.1052477700257
2010-02-12,-4.0805326939952025
2010-02-15,-4.056274857383502
2010-02-16,-4.032686067488536
2010-02-17,-4.0099921746863005
2010-02-18,-3.988428479994214
2010-02-19,-3.968234886378136
2010-02-22,-3.9496508907088574
2010-02-23,-3.9329105166563965
2010-02-24,-3.9182372902260525
2010-02-25,-3.9058393590602574
2010-02-26,-3.8959048540646672
2010-03-01,-3.8885975874149317
2010-03-02,-3.884053174648309
2010-03-03,-3.88237566046503
2010-03-04,-3.883634718214058
2010-03-05,-3.8878634820041578
2010-03-08,-3.8950570581778683
2010-03-09,-3.905171749750374
2010-03-10,-3.9181250136024635
2010-03-11,-3.9337961559955597
2010-03-12,-3.9520277576237435
2010-03-15,-3.9726278052121313
2010-03-16,-3.995372492889616
2010-03-17,-4.020009643475083
2010-03-18,-4.046262687675083
2010-03-19,-4.073835128234129
2010-03-22,-4.1024154065202625
2010-03-23,-4.131682081054824
2010-03-24,-4.161309221262639
2010-03-25,-4.1909719153489995
2010-03-26,-4.220351788789154
2010-03-29,-4.249142429492409
2010-03-30,-4.2770546172860255
2010-03-31,-4.3038212589240015
2010-04-01,-4.329201935294752
2010-04-02,-4.35298697477446
2010-04-05,-4.375000975609228
2010-04-06,-4.395105710636915
2010-04-07,-4.413202359376778
2010-04-08,-4.4292330252958845
2010-04-09,-4.44318150965775
2010-04-12,-4.455073327508539
2010-04-13,-4.464974965785034
2010-04-14,-4.4729923979575466
2010-04-15,-4.47926888377075
2010-04-16,-4.483982096242154
2010-04-19,-4.487340630858683
2010-04-20,-4.489579963629431
2010-04-21,-4.490957935080358
2010-04-22,-4.491749846213431
2010-04-23,-4.492243259725629
2010-04-26,-4.492732605252375
2010-04-27,-4.49351369096028
2010-04-28,-4.494878225397326
2010-04-29,-4.4971084530855
2010-04-30,-4.500472004920503
2010-05-03,-4.505217060073812
2010-05-04,-4.511567909859985
2010-05-05,-4.519721006058989
2010-05-06,-4.5298415666251595
2010-05-07,-4.54206080075821
2010-05-10,-4.556473803171065
2010-05-11,-4.573138154300978
2010-05-12,-4.592073249429668
2010-05-13,-4.613260365473191
2010-05-14,-4.636643459849957
2010-05-17,-4.662130681614639
2010-05-18,-4.68959656123373
2010-05-19,-4.71888483224349
2010-05-20,-4.749811825828574
2010-05-21,-4.782170368326495
2010-05-24,-4.815734102013791
2010-05-25,-4.850262141451047
2010-05-26,-4.8855039713127475
2010-05-27,-4.921204487126462
2010-05-28,-4.957109077781389
2010-05-31,-4.9929686480870235
2010-06-01,-5.028544481079316
2010-06-02,-5.063612843155087
2010-06-03,-5.097969240398532
2010-06-04,-5.131432241542314
2010-06-07,-5.163846791740667
2010-06-08,-5.195086951551766
2010-06-09,-5.225058007030768
2010-06-10,-5.253697909398048
2010-06-11,-5.28097801612308
2010-06-14,-5.306903119191157
2010-06-15,-5.331510760525046
2010-06-16,-5.354869848738652
2010-06-17,-5.377078605326498
2010-06-18,-5.398261881769034
2010-06-21,-5.418567901596934
2010-06-22,-5.438164492962088
2010-06-23,-5.457234887483017
2010-06-24,-5.475973169867821
2010-06-25,-5.4945794698967
2010-06-28,-5.513254993629785
2010-06-29,-5.53219699408984
2010-06-30,-5.551593783086505
2010-07-01,-5.57161988527031
2010-07-02,-5.592431432940595
2010-07-05,-5.614161895631045
2010-07-06,-5.636918232145826
2010-07-07,-5.660777544641689
2010-07-08,-5.685784304702762
2010-07-09,-5.7119482103227215
2010-07-12,-5.739242720507386
2010-07-13,-5.767604301076884
2010-07-14,-5.796932401435537
2010-07-15,-5.8270901678580955
2010-07-16,-5.857905884489713
2010-07-19,-5.889175119053297
2010-07-20,-5.920663536478303
2010-07-21,-5.952110330577998
2010-07-22,-5.983232211762923
2010-07-23,-6.0137278778233085
2010-07-26,-6.043282885256549
2010-07-27,-6.0715748306440025
2010-07-28,-6.098278745350478
2010-07-29,-6.123072602451915
2010-07-30,-6.14564283237784
2010-08-02,-6.165689743333575
2010-08-03,-6.182932744151995
2010-08-04,-6.197115270786537
2010-08-05,-6.2080093231278255
2010-08-06,-6.215419526100969
2010-08-09,-6.219186637938747
2010-08-10,-6.219190438955479
2010-08-11,-6.215351945865481
2010-08-12,-6.207634909472543
2010-08-13,-6.196046567155267
2010-08-16,-6.180637635724652
2010-08-17,-6.161501544660962
2010-08-18,-6.1387729241676
2010-08-19,-6.112625376631204
2010-08-20,-6.083268573675597
2010-08-23,-6.0509447337796125
