date,maturity,inflation
2023-01-01,1.0,0.019961370563888012
2023-01-01,3.0,0.01982274112777602
2023-01-01,5.0,0.019741648106154388
2023-01-01,7.0,0.019684111691664032
2023-01-01,10.0,0.019620420945440326
2023-01-02,1.0,0.019915400794474826
2023-01-02,3.0,0.019776771358362834
2023-01-02,5.0,0.019695678336741202
2023-01-02,7.0,0.019638141922250846
2023-01-02,10.0,0.01957445117602714
2023-01-03,1.0,0.019819755880233297
2023-01-03,3.0,0.019681126444121306
2023-01-03,5.0,0.019600033422499673
2023-01-03,7.0,0.019542497008009318
2023-01-03,10.0,0.019478806261785612
2023-01-04,1.0,0.019762371314227967
2023-01-04,3.0,0.019623741878115976
2023-01-04,5.0,0.019542648856494343
2023-01-04,7.0,0.019485112442003988
2023-01-04,10.0,0.019421421695780282
2023-01-05,1.0,0.01979600620180165
2023-01-05,3.0,0.019657376765689658
2023-01-05,5.0,0.019576283744068026
2023-01-05,7.0,0.01951874732957767
2023-01-05,10.0,0.019455056583353964
2023-01-06,1.0,0.019889736782434334
2023-01-06,3.0,0.019751107346322343
2023-01-06,5.0,0.01967001432470071
2023-01-06,7.0,0.019612477910210355
2023-01-06,10.0,0.01954878716398665
2023-01-07,1.0,0.01995738759255305
2023-01-07,3.0,0.019818758156441057
2023-01-07,5.0,0.019737665134819424
2023-01-07,7.0,0.01968012872032907
2023-01-07,10.0,0.019616437974105363
2023-01-08,1.0,0.01993676078932234
2023-01-08,3.0,0.01979813135321035
2023-01-08,5.0,0.019717038331588718
2023-01-08,7.0,0.019659501917098362
2023-01-08,10.0,0.019595811170874656
2023-01-09,1.0,0.019846820560507152
2023-01-09,3.0,0.01970819112439516
2023-01-09,5.0,0.01962709810277353
2023-01-09,7.0,0.019569561688283173
2023-01-09,10.0,0.019505870942059467
2023-01-10,1.0,0.019770257537699544
2023-01-10,3.0,0.019631628101587553
2023-01-10,5.0,0.01955053507996592
2023-01-10,7.0,0.019492998665475565
2023-01-10,10.0,0.01942930791925186
2023-01-11,1.0,0.019777463410980366
2023-01-11,3.0,0.019638833974868375
2023-01-11,5.0,0.019557740953246742
2023-01-11,7.0,0.019500204538756387
2023-01-11,10.0,0.01943651379253268
2023-01-12,1.0,0.019861813133686818
2023-01-12,3.0,0.019723183697574826
2023-01-12,5.0,0.019642090675953194
2023-01-12,7.0,0.019584554261462838
2023-01-12,10.0,0.019520863515239132
2023-01-13,1.0,0.019945755959761263
2023-01-13,3.0,0.01980712652364927
2023-01-13,5.0,0.01972603350202764
2023-01-13,7.0,0.019668497087537283
2023-01-13,10.0,0.019604806341313577
2023-01-14,1.0,0.019952115242033032
2023-01-14,3.0,0.01981348580592104
2023-01-14,5.0,0.019732392784299408
2023-01-14,7.0,0.019674856369809052
2023-01-14,10.0,0.019611165623585346
2023-01-15,1.0,0.019875044285708795
2023-01-15,3.0,0.019736414849596803
2023-01-15,5.0,0.01965532182797517
2023-01-15,7.0,0.019597785413484815
2023-01-15,10.0,0.01953409466726111
2023-01-16,1.0,0.01978540177260213
2023-01-16,3.0,0.019646772336490138
2023-01-16,5.0,0.019565679314868505
2023-01-16,7.0,0.01950814290037815
2023-01-16,10.0,0.019444452154154444
2023-01-17,1.0,0.019765604615855675
2023-01-17,3.0,0.019626975179743683
2023-01-17,5.0,0.01954588215812205
2023-01-17,7.0,0.019488345743631695
2023-01-17,10.0,0.01942465499740799
2023-01-18,1.0,0.019833854230082854
2023-01-18,3.0,0.019695224793970862
2023-01-18,5.0,0.01961413177234923
2023-01-18,7.0,0.019556595357858874
2023-01-18,10.0,0.019492904611635168
2023-01-19,1.0,0.01992740223471242
2023-01-19,3.0,0.01978877279860043
2023-01-19,5.0,0.019707679776978796
2023-01-19,7.0,0.01965014336248844
2023-01-19,10.0,0.019586452616264734
2023-01-20,1.0,0.01996024102570668
2023-01-20,3.0,0.01982161158959469
2023-01-20,5.0,0.019740518567973056
2023-01-20,7.0,0.0196829821534827
2023-01-20,10.0,0.019619291407258994
2023-01-21,1.0,0.01990217877006935
2023-01-21,3.0,0.01976354933395736
2023-01-21,5.0,0.019682456312335728
2023-01-21,7.0,0.019624919897845372
2023-01-21,10.0,0.019561229151621666
2023-01-22,1.0,0.019806597637865585
2023-01-22,3.0,0.019667968201753594
2023-01-22,5.0,0.01958687518013196
2023-01-22,7.0,0.019529338765641606
2023-01-22,10.0,0.0194656480194179
2023-01-23,1.0,0.01976137448124855
2023-01-23,3.0,0.019622745045136558
2023-01-23,5.0,0.019541652023514926
2023-01-23,7.0,0.01948411560902457
2023-01-23,10.0,0.019420424862800864
2023-01-24,1.0,0.019808087261854672
2023-01-24,3.0,0.01966945782574268
2023-01-24,5.0,0.019588364804121048
2023-01-24,7.0,0.019530828389630692
2023-01-24,10.0,0.019467137643406986
2023-01-25,1.0,0.01990378846462171
2023-01-25,3.0,0.01976515902850972
2023-01-25,5.0,0.019684066006888087
2023-01-25,7.0,0.019626529592397732
2023-01-25,10.0,0.019562838846174026
2023-01-26,1.0,0.01996049084507436
2023-01-26,3.0,0.019821861408962367
2023-01-26,5.0,0.019740768387340735
2023-01-26,7.0,0.01968323197285038
2023-01-26,10.0,0.019619541226626673
2023-01-27,1.0,0.019926062496120875
2023-01-27,3.0,0.019787433060008883
2023-01-27,5.0,0.01970634003838725
2023-01-27,7.0,0.019648803623896895
2023-01-27,10.0,0.01958511287767319
2023-01-28,1.0,0.019832156683014628
2023-01-28,3.0,0.019693527246902636
2023-01-28,5.0,0.019612434225281004
2023-01-28,7.0,0.019554897810790648
2023-01-28,10.0,0.019491207064566942
2023-01-29,1.0,0.019765109977256657
2023-01-29,3.0,0.019626480541144666
2023-01-29,5.0,0.019545387519523033
2023-01-29,7.0,0.019487851105032677
2023-01-29,10.0,0.01942416035880897
2023-01-30,1.0,0.019786564810919113
2023-01-30,3.0,0.01964793537480712
2023-01-30,5.0,0.01956684235318549
2023-01-30,7.0,0.019509305938695133
2023-01-30,10.0,0.019445615192471427
2023-01-31,1.0,0.019876795708876772
2023-01-31,3.0,0.01973816627276478
2023-01-31,5.0,0.01965707325114315
2023-01-31,7.0,0.019599536836652793
2023-01-31,10.0,0.019535846090429087
