valuation_date,nominal_present_value,tips_present_value,basis
2023-01-01,101.80278642008548,113.83809665852966,-12.035310238444183
2023-01-02,101.65775105343343,113.66775447448421,-12.010003421050783
2023-01-03,101.64607013398245,113.61550041283118,-11.969430278848733
2023-01-04,101.77844768010783,113.75013558604923,-11.971687905941394
2023-01-05,101.93341685674748,113.96914702536935,-12.035730168621868
2023-01-06,101.96833499975824,114.0920719472077,-12.123736947449459
2023-01-07,101.85099507173501,114.02648090570428,-12.175485833969262
2023-01-08,101.68952978773834,113.85379281077213,-12.164263023033797
2023-01-09,101.63228407893881,113.7537555427909,-12.121471463852089
2023-01-10,101.73172640737353,113.83900723858085,-12.10728083120732
2023-01-11,101.89667095855245,114.0523414157634,-12.155670457210945
2023-01-12,101.9754310245414,114.21870589151867,-12.243274866977274
2023-01-13,101.8953849621835,114.2057061569091,-12.310321194725603
2023-01-14,101.7303391531235,114.04626254484752,-12.315923391724027
2023-01-15,101.63206900467821,113.90808356276898,-12.276014558090765
2023-01-16,101.69068389535796,113.93887188077022,-12.248187985412258
2023-01-17,101.85245988926195,114.13133323928975,-12.278873350027794
2023-01-18,101.96876234666007,114.32974908195379,-12.360986735293721
2023-01-19,101.93241241508275,114.3723321726638,-12.439919757581052
2023-01-20,101.77693754416909,114.24072339990762,-12.463785855738536
2023-01-21,101.64544195439872,114.07711081473167,-12.431668860332948
2023-01-22,101.65858039611035,114.0526676724643,-12.394087276353943
2023-01-23,101.8043131979425,114.21070439096032,-12.40639119301781
2023-01-24,101.94886293794455,114.42720699678854,-12.478344058843987
2023-01-25,101.95911783082676,114.52391684451278,-12.564799013686027
2023-01-26,101.82561855276302,114.43255869332623,-12.60694014056321
2023-01-27,101.67134299668407,114.25829224810309,-12.586949251419014
2023-01-28,101.63796322035367,114.1822319442981,-12.544268723944427
2023-01-29,101.75606921348245,114.29501035487321,-12.538941141390765
2023-01-30,101.91732553247449,114.51417612621361,-12.59685059373912
2023-01-31,101.97336457614695,114.65921692778342,-12.68585235163647
