date,basis_px_per100,pv_nom,pv_tips
2020-01-01,-12.063625053150588,101.8296386332699,113.89326368642048
2020-01-02,-12.038728852106203,101.68405981918482,113.72278867129103
2020-01-03,-11.998152312939226,101.67233489939316,113.67048721233239
2020-01-04,-12.000010960024952,101.80520906826257,113.80522002828752
2020-01-05,-12.063632814670058,101.96075397920771,114.02438679387777
2020-01-06,-12.15159163480071,101.99580100828388,114.14739264308459
2020-01-07,-12.203724364055944,101.87802674228675,114.0817511063427
2020-01-08,-12.192972851018183,101.71595808441784,113.90893093543602
2020-01-09,-12.15031298365379,101.65849686978362,113.80880985343741
2020-01-10,-12.135808293962299,101.75831302478505,113.89412131874735
2020-01-11,-12.183736961643064,101.92387211483539,114.10760907647845
2020-01-12,-12.271162757855677,102.0029231873646,114.27408594522028
2020-01-13,-12.33849112994288,101.92258135385983,114.2610724838027
2020-01-14,-12.344588185366192,101.75692057276257,114.10150875812876
2020-01-15,-12.304937021707886,101.6582809842938,113.96321800600168
2020-01-16,-12.27690710512347,101.71711652822395,113.99402363334742
2020-01-17,-12.307127968217259,101.87949700339703,114.1866249716143
2020-01-18,-12.388947743981035,101.99622993064818,114.38517767462922
2020-01-19,-12.468039680723763,101.95974582548439,114.42778550620815
2020-01-20,-12.492385070234718,101.80369329199382,114.29607836222854
2020-01-21,-12.460632376073491,101.67170435256777,114.13233672864126
2020-01-22,-12.422975465247077,101.68489228456158,114.10786774980866
2020-01-23,-12.434848542889782,101.8311711036096,114.26601964649939
2020-01-24,-12.506417308433896,101.97625711141946,114.48267441985335
2020-01-25,-12.592896829392856,101.98654984795643,114.57944667734928
2020-01-26,-12.635463854014631,101.85255583229198,114.48801968630661
2020-01-27,-12.615915747658761,101.69770291780497,114.31361866546374
2020-01-28,-12.573295257822991,101.66419742786383,114.23749268568682
2020-01-29,-12.567605137235603,101.7827469593025,114.3503520965381
2020-01-30,-12.625071333612468,101.94460315636873,114.5696744899812
2020-01-31,-12.713962944829461,102.00084912383889,114.71481206866835
2020-02-01,-12.773288664487197,101.89961601853682,114.67290468302402
2020-02-02,-12.769326241399952,101.73421458523238,114.50354082663233
2020-02-03,-12.726816275607064,101.65667288709106,114.38348916269813
2020-02-04,-12.705713325880012,101.73807939655977,114.44379272243978
2020-02-05,-12.746320108153668,101.90379939990626,114.65011950805993
2020-02-06,-12.832442329811045,102.00149902824695,114.833941358058
2020-02-07,-12.905733341955681,101.9411198962919,114.84685323824758
2020-02-08,-12.919538753215832,101.77834070082145,114.69787945403728
2020-02-09,-12.88223537595492,101.66291504366458,114.5451504196195
2020-02-10,-12.849073533340487,101.70071927044359,114.54979280378407
2020-02-11,-12.871373179067334,101.85710537599279,114.72847855506012
2020-02-12,-12.949748484601017,101.98844752629282,114.93819601089383
2020-02-13,-13.033095211354862,101.97375238046945,115.00684759182431
2020-02-14,-13.065468538644609,101.82657388440074,114.89204242304535
2020-02-15,-13.038095075191094,101.6824291650921,114.7205242402832
2020-02-16,-12.997178460560676,101.673632898621,114.67081135918167
2020-02-17,-13.001144670621102,101.80824631353222,114.80939098415332
2020-02-18,-13.067392144304819,101.96273940072504,115.03013154502986
2020-02-19,-13.156074836292959,101.99490411603806,115.15097895233102
2020-02-20,-13.206358665909463,101.87507502587994,115.0814336917894
2020-02-21,-13.192894640028186,101.71366803147554,114.90656267150372
2020-02-22,-13.149151297828752,101.65896881477542,114.80812011260417
2020-02-23,-13.136182277981547,101.76111463745082,114.89729691543236
2020-02-24,-13.186861493699396,101.92643142709402,115.11329292079341
2020-02-25,-13.275722843360924,102.00288242343534,115.27860526679626
2020-02-26,-13.341842982344232,101.91997812928973,115.26182111163396
2020-02-27,-13.345205738952188,101.75415292160147,115.09935866055366
2020-02-28,-13.30381175412758,101.65788947145226,114.96170122557984
2020-02-29,-13.276625014010932,101.71945979827873,114.99608481228967
2020-03-01,-13.309504522926076,101.88242575462368,115.19193027754976
2020-03-02,-13.393357885723987,101.99704855898457,115.39040644470856
2020-03-03,-13.471978866324747,101.95769902860667,115.42967789493142
2020-03-04,-13.493784122942586,101.80066802550472,115.2944521484473
2020-03-05,-13.459765137725086,101.67048041030772,115.1302455480328
2020-03-06,-13.4221924349238,101.68659116732182,115.10878360224562
2020-03-07,-13.43642307384576,101.83423563577261,115.27065870961837
2020-03-08,-13.510462473073929,101.9778695969659,115.48833207003983
2020-03-09,-13.597246347392357,101.98522315074807,115.58246949814043
2020-03-10,-13.637668720833688,101.84951374394385,115.48718246477753
2020-03-11,-13.615508209255808,101.69574358448821,115.31125179374402
2020-03-12,-13.572205716126462,101.66511717104872,115.23732288717518
2020-03-13,-13.568386860498109,101.78570313199715,115.35408999249526
2020-03-14,-13.628565401058083,101.946880486797,115.57544588785508
2020-03-15,-13.71851298794914,102.00034870088687,115.71886168883601
2020-03-16,-13.776260076873314,101.89679959282773,115.67305966970105
2020-03-17,-13.769544320250134,101.73167532260737,115.5012196428575
2020-03-18,-13.725638747004822,101.65674058432155,115.38237933132638
2020-03-19,-13.7057738477654,101.74069204155188,115.44646588931728
2020-03-20,-13.749120630761013,101.90655953864017,115.65568016940118
2020-03-21,-13.836966954047128,102.0018649454579,115.83883189950502
2020-03-22,-13.90937131099821,101.9387539448879,115.84812525588612
2020-03-23,-13.920499501055772,101.77542320267682,115.69592270373259
2020-03-24,-13.881195446330409,101.66212532997966,115.54332077631007
2020-03-25,-13.848541102667511,101.70278082529641,115.55132192796393
2020-03-26,-13.873392597594332,101.86012795870764,115.73352055630197
2020-03-27,-13.954023612874622,101.98965048590114,115.94367409877576
2020-03-28,-14.037246753276591,101.97202599126948,116.00927274454607
2020-03-29,-14.067230765654713,101.82351019158277,115.89074095723748
2020-03-30,-14.037407803000661,101.68084463566635,115.71825243866701
2020-03-31,-13.996227841474976,101.67497976633466,115.67120760780963
